codigo,descripcion
37.8.6.01,(DESFIBRILADOR) INSERCIÓN [IMPLANTACIÓN] DE CARDIOVERSOR (DESFIBRILADOR) UNICAMERAL VÍA ABIERTA
37.8.6.02,INSERCIÓN [IMPLANTACIÓN] DE CARDIOVERSOR (DESFIBRILADOR) UNICAMERAL VÍA PERCUTÁNEA (ENDOVASCULAR)
37.8.6.03,INSERCIÓN [IMPLANTACIÓN] DE CARDIOVERSOR (DESFIBRILADOR) BICAMERAL VÍA ABIERTA
37.8.6.04,INSERCIÓN [IMPLANTACIÓN] DE CARDIOVERSOR (DESFIBRILADOR) BICAMERAL VÍA PERCUTÁNEA (ENDOVASCULAR) INSERCIÓN [IMPLANTACIÓN] DE CARDIOVERSOR (DESFIBRILADOR)
37.8.6.05,CON RESINCRONIZADOR (CARDIORESINCRONIZADOR) VÍA ABIERTA INSERCIÓN [IMPLANTACIÓN] DE CARDIOVERSOR (DESFIBRILADOR)
37.8.6.06,CON RESINCRONIZADOR (CARDIORESINCRONIZADOR) VÍA PERCUTÁNEA (ENDOVASCULAR)
37.8.6.07,CUPS” CÓDIGO                                   DESCRIPCIÓN INSERCIÓN [IMPLANTACIÓN] DE CARDIOVERSOR (DESFIBRILADOR)
37.8.7.01,INSERCIÓN O SUSTITUCIÓN DE ELECTRODO EPICÁRDICO VÍA ABIERTA
37.8.7.02,INSERCIÓN O SUSTITUCIÓN DE ELECTRODO EPICÁRDICO MÍNIMAMENTE INVASIVA
37.8.9.01,CARDÍACA O EXTRACCIÓN INSTRUMENTADA DE ELECTRODOS EXPLANTE O ELIMINACIÓN DE MARCAPASO
37.8.9.02,EXPLANTE O ELIMINACIÓN DE CARDIOVERSOR (DESFIBRILADOR) O RESINCRONIZADOR O CARDIORESINCRONIZADOR
37.8.9.03,EXTRACCIÓN INSTRUMENTADA DE ELECTRODO DE ESTIMULACIÓN (AURICULAR O VENTRICULAR)
37.8.9.04,EXTRACCIÓN INSTRUMENTADA DE ELECTRODO DE DESFIBRILACIÓN
37.8.9.05,EXTRACCIÓN INSTRUMENTADA DE ELECTRODO DE SENO
37.9.0.01,CIERRE U OCLUSIÓN DE AURICULILLA VÍA ABIERTA
37.9.0.02,CIERRE U OCLUSIÓN DE AURICULILLA MÍNIMAMENTE INVASIVA
37.9.0.03,CIERRE U OCLUSIÓN DE AURICULILLA VÍA PERCUTÁNEA
37.9.1.01,MASAJE CARDÍACO A TÓRAX ABIERTO
37.9.2.01,INYECCIÓN DE SUSTANCIA TERAPÉUTICA EN CORAZÓN
37.9.3.01,DILATACIÓN DE TRACTO DE SALIDA VENTRICULAR DERECHO VÍA PERCUTÁNEA (ENDOVASCULAR)
38.0.0.01,TROMBECTOMÍA DE VASOS ARTERIALES O VENOSOS VÍA PERCUTÁNEA (ENDOVASCULAR)
38.0.0.02,TROMBECTOMÍA CORONARIA VÍA PERCUTÁNEA (ENDOVASCULAR)
38.0.0.03,TROMBECTOMÍA PULMONAR VÍA PERCUTÁNEA (ENDOVASCULAR)
38.0.1.05,VASOS INTRACRANEALES ARTERIOGRAFÍA VERTEBRAL BILATERAL SELECTIVA CON CARÓTIDAS (PANANGIOGRAFÍA) (87.4.1.33) TROMBECTOMÍA DE VASOS INTRACRANEALES VÍA ENDOVASCULAR
38.0.1.10,TROMBÓLISIS FARMACOLÓGICA DE VASOS INTRACRANEALES VÍA ENDOVASCULAR
38.0.1.11,TROMBÓLISIS DE VASOS INTRACRANEALES VÍA ENDOVENOSA
38.0.2.01,ARTERIOGRAFÍA VERTEBRAL BILATERAL SELECTIVA CON CARÓTIDAS (PANANGIOGRAFÍA) (87.4.1.33) TROMBOEMBOLECTOMÍA ARTERIAL DE ZONA I Y III DE CUELLO
38.0.2.02,CUPS” CÓDIGO                                 DESCRIPCIÓN TROMBOEMBOLECTOMÍA ARTERIAL DE ZONA II DE CUELLO
38.0.2.03,TROMBOEMBOLECTOMÍA VENOSA DE ZONA I Y III DE CUELLO
38.0.2.04,TROMBOEMBOLECTOMÍA VENOSA DE ZONA II DE CUELLO
38.0.2.05,TROMBOEMBOLECTOMÍA DE VASOS DE CABEZA Y CUELLO
38.0.2.06,TROMBECTOMÍA DE VASOS DE CABEZA Y CUELLO VÍA ENDOVASCULAR
38.0.2.10,"TROMBÓLISIS DE VASOS DE CABEZA Y CUELLO, VÍA"
38.0.3.01,TROMBOLECTOMÍA DE ARTERIA SUBCLAVIA
38.0.3.02,TROMBOEMBOLECTOMÍA ARTERIAL AXILAR
38.0.3.03,TROMBOEMBOLECTOMÍA ARTERIAL DE BRAZO O ANTEBRAZO
38.0.3.04,TROMBOLECTOMÍA DE VENA SUBCLAVIA
38.0.3.05,TROMBOEMBOLECTOMÍA VENOSA AXILAR
38.0.3.06,TROMBOEMBOLECTOMÍA VENOSA DE BRAZO O ANTEBRAZO
38.0.3.07,TROMBOEMBOLECTOMÍA DE VASOS DE MIEMBROS SUPERIORES
38.0.3.08,TROMBÓLISIS DE VASOS DE MIEMBROS SUPERIORES
38.0.4.01,TROMBOEMBOLECTOMÍA ARTERIAL TORÁCICA
38.0.4.02,TROMBOEMBOLECTOMÍA VENOSA TORÁCICA
38.0.4.03,TROMBÓLISIS EN VASOS TORÁCICOS
38.0.4.04,TROMBOEMBOLECTOMÍA ARTERIAL CORONARIA
38.0.5.01,TROMBOEMBOLECTOMÍA EN VASOS ESPINALES
38.0.6.01,TROMBOEMBOLECTOMÍA DE ARTERIAS ABDOMINALES VÍA ABIERTA
38.0.6.02,TROMBÓLISIS ARTERIAL ABDOMINAL VÍA ENDOVASCULAR
38.0.6.03,TROMBOEMBOLECTOMÍA DE ARTERIAS ABDOMINALES
38.0.7.01,"TROMBOEMBOLECTOMÍA DE VENAS ABDOMINALES, VÍA ABIERTA"
38.0.7.02,"TROMBÓLISIS VENOSA ABDOMINAL, VÍA ENDOVASCULAR"
38.0.7.03,TROMBOEMBOLECTOMÍA DE VENAS ABDOMINALES
38.0.8.01,INFERIORES TROMBOEMBOLECTOMÍA SUPRAPATELAR DE ARTERIAS EN MIEMBROS INFERIORES
38.0.8.02,TROMBOEMBOLECTOMÍA INFRAPATELAR DE ARTERIAS EN MIEMBROS INFERIORES
38.0.8.03,TROMBOEMBOLECTOMÍA DE ARTERIAS DE MIEMBROS INFERIORES
38.0.8.10,"TROMBÓLISIS DE ARTERIAS DE MIEMBROS INFERIORES, VÍA"
38.0.9.01,TROMBOEMBOLECTOMÍA SUPRAPATELAR VENOSA PROFUNDA
38.0.9.02,TROMBOEMBOLECTOMÍA INFRAPATELAR VENOSA PROFUNDA
38.0.9.03,TROMBOEMBOLECTOMÍA VENOSA SUPERFICIAL EN MIEMBROS INFERIORES
38.0.9.04,TROMBOEMBOLECTOMÍA DE VENAS DE MIEMBROS INFERIORES
38.0.9.10,"TROMBÓLISIS DE VENAS DE MIEMBROS INFERIORES, VÍA"
38.1.1.01,ENDARTERECTOMÍA DE LA CARÓTIDA INTERNA PORCIÓN INTRACRANEAL
38.1.1.02,CUPS” CÓDIGO                                  DESCRIPCIÓN ENDARTERECTOMÍA DE VASOS INTRACRANEALES
38.1.2.03,ENDARTERECTOMÍA DE ARTERIA CARÓTIDA INTERNA O ARTERIA
38.1.3.01,ENDARTERECTOMÍA DE SUBCLAVIA
38.1.3.02,ENDARTERECTOMÍA AXILAR
38.1.3.03,ENDARTERECTOMÍA DE VASOS DE BRAZO O ANTEBRAZO
38.1.3.04,ENDARTERECTOMÍA DE VASOS DE MIEMBROS SUPERIORES
38.1.4.01,ENDARTERECTOMÍA DE AORTA
38.1.5.01,TROMBOENDARTERECTOMÍA PULMONAR
38.1.5.02,ENDARTERECTOMÍA DE VASOS TORÁCICOS
38.1.6.01,ENDARTERECTOMÍA RENAL
38.1.6.02,ENDARTERECTOMÍA CELIACA O MESENTÉRICA
38.1.6.03,ENDARTERECTOMÍA AORTOILÍACA
38.1.6.04,ENDARTERECTOMÍA DE ARTERIAS ABDOMINALES
38.1.8.01,ENDARTERECTOMÍA SUPRAPATELAR
38.1.8.02,ENDARTERECTOMÍA INFRAPATELAR
38.1.8.03,ENDARTERECTOMÍA DE ARTERIAS DE MIEMBROS INFERIORES
38.2.1.01,BIOPSIA DE VASO SANGUÍNEO SUPERFICIAL
38.2.1.02,BIOPSIA DE VASO SANGUÍNEO PROFUNDO
38.2.2.01,ANGIOSCOPIA PERCUTÁNEA
38.2.3.02,PRUEBA FUNCIONAL EN VASOS ESPINALES
38.2.3.03,PRUEBA FUNCIONAL MECÁNICA DE VASOS INTRACRANEALES
38.2.3.04,PRUEBA FUNCIONAL QUÍMICA EN VASOS INTRACRANEALES
38.2.3.05,CAPILAROSCOPIA (VIDEO CAPILAROSCOPIA)
38.3.1.07,VASCULARES DE VASOS INTRACRANEALES RESECCIÓN DE MALFORMACIÓN VASCULAR SUPRATENTORIAL
38.3.1.08,RESECCIÓN DE MALFORMACIÓN VASCULAR INFRATENTORIAL
38.3.1.09,EMBOLIZACIÓN DE MALFORMACIÓN VASCULAR SUPRATENTORIAL
38.3.1.10,EMBOLIZACIÓN DE MALFORMACIÓN VASCULAR INFRATENTORIAL
38.3.2.01,"AQUELLA POR MALFORMACIÓN ARTERIOVENOSA, ANEURISMA DE CUELLO RESECCIÓN DE MALFORMACIÓN ARTERIOVENOSA DE CUERO CABELLUDO, CARA O CUELLO"
38.3.2.02,RESECCIÓN DE MALFORMACIÓN VASCULAR EN CUERO CABELLUDO CARA O CUELLO (39.9.9.03) RESECCIÓN ARTERIAL CON ANASTOMOSIS TERMINO TERMINAL EN ZONA I Y III DE CUELLO
38.3.2.03,RESECCIÓN ARTERIAL CON ANASTOMOSIS TERMINO TERMINAL EN ZONA II DE CUELLO
38.3.2.04,CUPS” CÓDIGO                                   DESCRIPCIÓN RESECCIÓN VENOSA CON ANASTOMOSIS TERMINO TERMINAL EN ZONA I Y III DE CUELLO
38.3.2.05,RESECCIÓN VENOSA CON ANASTOMOSIS TERMINO TERMINAL EN ZONA II DE CUELLO
38.3.2.06,RESECCIÓN CON ANASTOMOSIS DE VASOS DE CABEZA Y CUELLO
38.3.3.01,SUPERIORES RESECCIÓN CON ANASTOMOSIS PRIMARIA DE SUBCLAVIA
38.3.3.02,RESECCIÓN CON ANASTOMOSIS PRIMARIA AXILAR
38.3.3.03,RESECCIÓN CON ANASTOMOSIS TERMINO-TERMINAL EN BRAZO O ANTEBRAZO
38.3.3.04,RESECCIÓN CON ANASTOMOSIS DE VASOS DE MIEMBROS
38.3.4.04,CUANDO SE REALICE DERIVACIÓN CARDIOPULMONAR CARDÍACA ABIERTA] (39.6.1.) RESECCIÓN CON ANASTOMOSIS DE AORTA
38.3.4.05,"RECONSTRUCION AÓRTICA TORACO- ABDOMINAL (METODOS CLASICO, DE KOUCHOUKOSY DE LA TROMPA DE ELEFANTE)"
38.3.4.06,RECONSTRUCIÓN DE AORTA TORÁCICA ASCENDENTE VÍA ABIERTA
38.3.4.07,RECONSTRUCIÓN DE AORTA TORÁCICA ASCENDENTE VÍA PERCUTÁNEA (ENDOVASCULAR)
38.3.4.08,RECONSTRUCCIÓN DEL CAYADO AÓRTICO VÍA ABIERTA
38.3.4.09,RECONSTRUCCIÓN DEL CAYADO AÓRTICO VÍA PERCUTÁNEA (ENDOVASCULAR)
38.3.4.10,RECONSTRUCIÓN DE AORTA TORÁCICA DESCENDENTE VÍA ABIERTA
38.3.4.11,RECONSTRUCIÓN DE AORTA TORÁCICA DESCENDENTE VÍA PERCUTÁNEA (ENDOVASCULAR)
38.3.4.12,REIMPLANTE O RECONSTRUCCIÓN DE OSTIA CORONARIA VÍA ABIERTA
38.3.4.13,REIMPLANTE O RECONSTRUCCIÓN DE OSTIA CORONARIA MÍNIMAMENTE INVASIVA
38.3.4.14,REVASCULARIZACIÓN DE VASOS DE CUELLO VÍA ABIERTA
38.3.5.05,RESECCIÓN DE MALFORMACIONES VASCULARES EN VASOS
38.3.6.01,RESECCIÓN CON ANASTOMOSIS TERMINO-TERMINAL DE ARTERIAS ABDOMINALES
38.3.6.02,RESECCIÓN CON ANASTOMOSIS DE ARTERIAS ABDOMINALES
38.3.7.01,RESECCIÓN CON ANASTOMOSIS TERMINO-TERMINAL DE VENAS ABDOMINALES
38.3.7.02,RESECCIÓN CON ANASTOMOSIS DE VENAS ABDOMINALES
38.3.8.01,INFERIORES ANASTOMOSIS ARTERIAL PRIMARIA SUPRAPATELAR
38.3.8.02,ANASTOMOSIS ARTERIAL PRIMARIA INFRAPATELAR
38.3.8.03,RESECCIÓN CON ANASTOMOSIS DE ARTERIAS DE MIEMBROS INFERIORES
38.3.9.01,INFERIORES ANASTOMOSIS VENOSA TERMINO TERMINAL SUPRAPATELAR
38.3.9.02,ANASTOMOSIS VENOSA TERMINO TERMINAL INFRAPATELAR
38.3.9.03,CUPS” CÓDIGO                                    DESCRIPCIÓN RESECCIÓN CON ANASTOMOSIS DE VENAS DE MIEMBROS
38.4.2.01,RESECCIÓN CON INJERTO AUTÓLOGO O PRÓTESIS DE VASOS DE LA ZONA I Y III DEL CUELLO
38.4.2.02,RESECCIÓN CON INJERTO AUTÓLOGO O PRÓTESIS DE VASOS DE LA ZONA II DEL CUELLO
38.4.2.03,ESCISIÓN CON SUSTITUCIÓN DE VASOS DE CABEZA Y CUELLO
38.4.3.01,SUPERIORES RESECCIÓN DE SUBCLAVIA CON INTERPOSICIÓN DE INJERTO O PRÓTESIS
38.4.3.02,RESECCIÓN AXILAR CON INTERPOSICIÓN DE INJERTO O PRÓTESIS
38.4.3.03,RESECCIÓN EN BRAZO O ANTEBRAZO CON INTERPOSICIÓN DE INJERTO O PRÓTESIS
38.4.3.04,RESECCIÓN CON SUSTITUCIÓN DE VASOS DE MIEMBROS
38.4.4.01,RESECCIÓN CON SUSTITUCIÓN DE AORTA ABDOMINAL
38.4.5.01,RESECCIÓN CON SUSTITUCIÓN DE VASOS TORÁCICOS
38.4.6.01,"ESPLÉNICA, MESENTÉRICA, HEPÁTICA, RENAL, ILÍACA, GÁSTRICA, TRONCO CELÍACO, UMBILICAL RESECCIÓN CON SUSTITUCIÓN DE ARTERIAS ABDOMINALES"
38.4.7.01,RESECCIÓN CON SUSTITUCIÓN DE VENAS ABDOMINALES
38.4.8.01,INFERIORES RESECCIÓN ARTERIAL SUPRAPATELAR CON INJERTO AUTÓLOGO O PRÓTESIS
38.4.8.02,RESECCIÓN ARTERIAL INFRAPATELAR CON INJERTO AUTÓLOGO O PRÓTESIS
38.4.8.03,RESECCIÓN CON SUSTITUCIÓN DE ARTERIAS DE MIEMBROS INFERIORES
38.4.9.01,INFERIORES TRANSPOSICIÓN VENOSA CON SEGMENTO VALVULADO
38.4.9.02,RESECCIÓN CON SUSTITUCIÓN DE VENAS DE MIEMBROS
38.5.1.07,"INTRACRANEALES CIERRE, PINZAMIENTO O LIGADURA DE VASOS INTRACRANEALES VÍA ABIERTA"
38.5.1.08,PINZAMIENTO DE ANEURISMA INTRACRANEAL SUPRATENTORIAL
38.5.1.09,PINZAMIENTO DE ANEURISMA INTRACRANEAL INFRATENTORIAL
38.5.1.12,OCLUSIÓN DE ANEURISMA INTRACRANEAL POR VÍA ENDOVASCULAR
38.5.1.13,REVASCULARIZACIÓN CEREBRAL
38.5.1.20,"CUPS” CÓDIGO                                 DESCRIPCIÓN OCLUSIÓN DE LESIÓN EN VASOS INTRACRANEALES, VÍA ENDOVASCULAR"
38.5.2.01,"EN CABEZA Y CUELLO OCLUSIÓN, PINZAMIENTO O LIGADURA ARTERIAL EN ZONA I Y III DEL CUELLO"
38.5.2.02,"OCLUSIÓN, PINZAMIENTO O LIGADURA ARTERIAL EN ZONA II DEL CUELLO"
38.5.2.03,"OCLUSIÓN, PINZAMIENTO O LIGADURA VENOSA EN ZONA I Y III DEL CUELLO"
38.5.2.04,"OCLUSIÓN, PINZAMIENTO O LIGADURA VENOSA EN ZONA II DEL CUELLO"
38.5.2.05,"OCLUSIÓN, PINZAMIENTO O LIGADURA DE VASOS DE CABEZA Y CUELLO"
38.5.2.06,EMBOLIZACIÓN DE TUMORES VÍA PERCUTÁNEA
38.5.2.07,EMBOLIZACIÓN DE TUMORES VÍA ENDOVASCULAR
38.5.2.08,EMBOLIZACIÓN DE EPISTAXIS VÍA ENDOVASCULAR
38.5.2.20,"OCLUSIÓN DE VASOS DE CABEZA Y CUELLO, VÍA ENDOVASCULAR"
38.5.3.01,"SUPERIORES OCLUSIÓN, PINZAMIENTO O LIGADURA DE SUBCLAVIA"
38.5.3.02,"OCLUSIÓN, PINZAMIENTO O LIGADURA DE VASOS AXILARES"
38.5.3.03,"OCLUSIÓN, PINZAMIENTO O LIGADURA DE VASOS EN BRAZO O ANTEBRAZO"
38.5.3.04,"OCLUSIÓN, PINZAMIENTO O LIGADURA DE VASOS DE MIEMBROS SUPERIORES"
38.5.3.20,"OCLUSIÓN DE VASOS DE MIEMBROS SUPERIORES, VÍA"
38.5.4.01,"OCLUSIÓN DE VASOS ESPINALES, VÍA ENDOVASCULAR"
38.5.4.02,"CIERRE, PINZAMIENTO O LIGADURA DE VASOS ESPINALES"
38.5.5.01,"CIERRE, PINZAMIENTO O LIGADURA DE VASOS TORÁCICOS"
38.5.5.20,OCLUSIÓN DE VASOS TORÁCICOS VÍA PERCUTÁNEA (ENDOVASCULAR)
38.5.5.21,OCLUSIÓN DE COLATERALES AORTO PULMONARES VÍA PERCUTÁNEA (ENDOVASCULAR)
38.5.6.01,"ABDOMINALES OCLUSIÓN, PINZAMIENTO O LIGADURA DE ARTERIAS ABDOMINALES, UNA O MÁS (SELECTIVAS)"
38.5.6.02,"CIERRE, PINZAMIENTO O LIGADURA DE ARTERIAS ABDOMINALES"
38.5.6.20,"OCLUSIÓN DE ARTERIAS ABDOMINALES, VÍA ENDOVASCULAR"
38.5.7.01,"INTRAABDOMINALES OCLUSIÓN, PINZAMIENTO O LIGADURA DE VENAS INTRAABDOMINALES, UNA O MAS"
38.5.7.02,"CIERRE, PINZAMIENTO O LIGADURA DE VENAS INTRAABDOMINALES"
38.5.7.20,"OCLUSIÓN DE VENAS INTRAABDOMINALES, VÍA ENDOVASCULAR"
38.5.8.01,"MIEMBROS INFERIORES OCLUSIÓN, PINZAMIENTO O LIGADURA ARTERIAL SUPRAPATELAR"
38.5.8.02,"OCLUSIÓN, PINZAMIENTO O LIGADURA ARTERIAL INFRAPATELAR"
38.5.8.03,"CUPS” CÓDIGO                                 DESCRIPCIÓN OCLUSIÓN, PINZAMIENTO O LIGADURA DE ARTERIAS DE MIEMBROS INFERIORES"
38.5.8.20,"OCLUSIÓN DE ARTERIAS DE MIEMBROS INFERIORES, VÍA PERCUTÁNEA O ENDOVASCULAR"
38.5.9.01,"INFERIORES OCLUSIÓN, PINZAMIENTO O LIGADURA VENOSA PROFUNDA SUPRAPATELAR"
38.5.9.02,"OCLUSIÓN, PINZAMIENTO O LIGADURA VENOSA PROFUNDA INFRAPATELAR"
38.5.9.04,"LIGADURA DE VENAS PERFORANTES, VÍA ENDOSCÓPICA"
38.5.9.05,"OCLUSIÓN, PINZAMIENTO O LIGADURAS DE VENAS DE MIEMBROS INFERIORES"
38.5.9.06,"LIGADURA DE VENAS PERFORANTES, VÍA ABIERTA"
38.5.9.07,"OCLUSIÓN DE VENAS PERFORANTES, VÍA PERCUTÁNEA"
38.5.9.20,"OCLUSIÓN DE VENAS DE MIEMBROS INFERIORES, VÍA"
38.6.1.01,TOMA DE INJERTO ARTERIAL
38.6.2.01,TOMA DE INJERTO VENOSO
38.6.3.01,ESCLEROSIS DE LESIÓN EN VASOS SANGUÍNEOS VÍA PERCUTÁNEA
38.6.3.02,ESCLEROSIS DE LESIÓN DE VASOS SANGUÍNEOS
38.6.4.01,"(VENOSO) EXTRACCIÓN DE CUERPO EXTRAÑO INTRAVASCULAR (ARTERIAL) (VENOSO), VÍA ABIERTA"
38.6.4.02,EXTRACCIÓN DE CUERPO EXTRAÑO INTRAVASCULAR (ARTERIAL)
38.7.2.01,LIGADURA DE VENA CAVA (SUPERIOR O INFERIOR)
38.7.3.01,INSERCIÓN DE IMPLANTE O FILTRO EN VENA CAVA (SUPERIOR O
38.8.7.01,LIGADURA O ESCISIÓN DE VENAS VARICOSAS ABDOMINALES
38.8.8.01,LIGADURA O ESCISIÓN DE VENAS VARICOSAS PÉLVICAS POR LAPAROTOMÍA
38.8.8.02,LIGADURA O ESCISIÓN DE VENAS VARICOSAS PÉLVICAS POR LAPAROSCOPIA
38.8.9.01,INFERIORES LIGADURA Y ESCISIÓN SUPRAPATELAR DE VENAS VARICOSAS
38.8.9.02,LIGADURA Y ESCISIÓN INFRAPATELAR DE VENAS VARICOSAS
38.8.9.03,LIGADURA Y ESCISIÓN DE SAFENA EXTERNA
38.8.9.04,LIGADURA Y ESCISIÓN DE SAFENA INTERNA
38.8.9.05,LIGADURA Y ESCISIÓN DE VENAS VARICOSAS DE MIEMBROS
38.9.0.01,COLOCACIÓN DE CATÉTER ARTERIAL FEMORAL O BRAQUIAL
38.9.0.02,COLOCACIÓN CATÉTER ARTERIAL PERIFÉRICO (LÍNEA ARTERIAL)
38.9.1.01,IMPLANTACIÓN DE CATÉTER VENOSO SUBCLAVIO O FEMORAL
38.9.1.02,INSERCIÓN DE CATÉTER YUGULAR
38.9.1.03,"INSERCIÓN DE CATÉTER CENTRAL, VÍA PERIFÉRICA"
38.9.1.04,INSERCIÓN DE CATÉTER CENTRAL VÍA ABIERTA
38.9.1.05,INSERCIÓN DE CATÉTER CENTRAL MÍNIMAMENTE INVASIVA
38.9.1.06,INSERCIÓN DE DISPOSITIVO DE ACCESO VASCULAR IMPLANTABLE
38.9.1.07,INSERCIÓN DE CATÉTER PERMANENTE
38.9.1.08,INSERCIÓN DE CATÉTER EN VENA CAVA VÍA TRANSLUMBAR
38.9.2.01,CATETERISMO DE VENA UMBILICAL
38.9.3.01,CATETERISMO O CANALIZACIÓN DE VENA
38.9.4.01,DISECCIÓN VENOSA
38.9.5.01,CATETERIZACIÓN VENOSA PARA DIÁLISIS RENAL
38.9.9.01,FLEBOTOMÍA TERAPÉUTICA
39.0.1.01,PULMONAR ANASTOMOSIS (CON O SIN INJERTO) AORTA ASCENDENTE-
39.0.2.01,ANASTOMOSIS (CON O SIN INJERTO) SUBCLAVIA-PULMONAR
39.1.2.01,DERIVACIÓN YUGULO-CAVA
39.1.2.02,DERIVACIÓN YUGULO-ATRIAL
39.1.7.01,DERIVACIÓN PORTO-CAVA
39.1.7.02,DERIVACIÓN MESENTÉRICO-CAVA
39.1.7.03,DERIVACIÓN ESPLENO-RENAL
39.1.7.04,DERIVACIÓN PORTO-SISTÉMICA TRANSYUGULAR INTRAHEPÁTICA
39.2.0.01,INTRACRANEANOS DERIVACIÓN O PUENTE VASCULAR EXTRACRANEAL-
39.2.1.01,ANASTOMOSIS DE VENA CAVA-ARTERIA PULMONAR
39.2.2.01,CUPS” CÓDIGO                                   DESCRIPCIÓN DERIVACIÓN DE AORTA A CARÓTIDA
39.2.2.02,DERIVACIÓN O PUENTE AXILO-AXILAR
39.2.2.03,DERIVACIÓN O PUENTE SUBCLAVIO-SUBCLAVIO
39.2.2.04,DERIVACIÓN O PUENTE AORTO-SUBCLAVIO
39.2.4.01,"DERIVACIÓN HEPATO-RENAL, ESPLENO-RENAL, ILIO-RENAL, Y REIMPLANTE DE ARTERIA RENAL O VASO RENAL ABERRANTE DERIVACIÓN AORTA-RENAL"
39.2.5.01,DERIVACIÓN AORTO-FEMORAL
39.2.5.02,DERIVACIÓN AORTO-ILÍACA
39.2.5.03,DERIVACIÓN O PUENTE ILIO-FEMORAL
39.2.6.01,EXTRA-ANATÓMICAS DERIVACIÓN O PUENTE FEMORO-FEMORAL (CRUZADO)
39.2.6.02,DERIVACIÓN O PUENTE AXILO-FEMORAL UNILATERAL
39.2.6.03,DERIVACIÓN O PUENTE AXILO-FEMORAL BIFEMORAL (CRUZADO)
39.2.6.04,DERIVACIÓN AÓRTICO-MESENTERICO SUPERIOR
39.2.6.05,DERIVACIÓN ILIO-FEMORAL POR AGUJERO OBTURADOR
39.2.6.20,DERIVACIÓN O PUENTE AORTO-AÓRTICO
39.2.7.01,FORMACIÓN DE FÍSTULA AV (PERIFÉRICA) PARA DIÁLISIS RENAL FORMACIÓN DE FÍSTULA AV (PERIFÉRICA) PARA DIÁLISIS RENAL
39.2.7.02,CON PRÓTESIS [DERIVACIÓN AV POR CÁNULA EXTERNA DE
39.2.8.01,DERIVACIÓN (INJERTO) AXILAR-BRAQUIAL
39.2.8.02,DERIVACIÓN (INJERTO) O PUENTE FEMORO-PERONEAL
39.2.8.03,DERIVACIÓN (INJERTO) O PUENTE FEMORO-POPLITEO
39.2.8.04,DERIVACIÓN (INJERTO) O PUENTE FEMORO-TIBIAL
39.2.8.05,DERIVACIÓN O PUENTES DE VASOS PERIFÉRICOS
39.3.2.01,SUTURA DE ARTERIAS EN ZONA I Y III DEL CUELLO
39.3.2.02,SUTURA DE ARTERIAS EN ZONA II DEL CUELLO
39.3.2.03,SUTURA DE VENAS ZONA I Y III DE CUELLO
39.3.2.04,SUTURA DE VENAS ZONA II DE CUELLO
39.3.2.05,SUTURA DE VASOS DE CABEZA Y CUELLO
39.3.2.10,SUTURA DE VASOS DE CUERO CABELLUDO
39.3.3.01,SUTURA DE ARTERIA SUBCLAVIA
39.3.3.02,SUTURA DE ARTERIA AXILAR
39.3.3.03,SUTURA DE ARTERIA DE BRAZO O ANTEBRAZO
39.3.3.04,SUTURA DE VENA AXILAR
39.3.3.05,SUTURA DE VENA DE BRAZO O ANTEBRAZO
39.3.3.06,RECONSTRUCCIÓN DE VASOS PERIFÉRICOS EN MANO
39.3.3.07,SUTURA DE VASOS DE MIEMBROS SUPERIORES
39.3.6.01,SUTURA DE ARTERIAS ABDOMINALES
39.3.7.01,SUTURA DE VENAS ABDOMINALES
39.3.8.04,SUTURA SUPRAPATELAR DE ARTERIAS VÍA ABIERTA
39.3.8.05,SUTURA SUPRAPATELAR DE ARTERIAS VÍA PERCUTÁNEA (ENDOVASCULAR)
39.3.8.06,SUTURA INFRAPATELAR DE ARTERIAS VÍA ABIERTA
39.3.8.07,CUPS” CÓDIGO                                 DESCRIPCIÓN SUTURA INFRAPATELAR DE ARTERIAS VÍA PERCUTÁNEA
39.3.9.04,SUTURA SUPRAPATELAR DE VENAS VÍA ABIERTA
39.3.9.05,SUTURA SUPRAPATELAR DE VENAS VÍA PERCUTÁNEA (ENDOVASCULAR)
39.3.9.06,SUTURA INFRAPATELAR DE VENAS VÍA ABIERTA
39.3.9.07,SUTURA INFRAPATELAR DE VENAS VÍA PERCUTÁNEA
39.4.1.01,CONTROL DE HEMORRAGIA DESPUÉS DE CIRUGÍA VASCULAR
39.4.2.01,RENAL REVISIÓN DE DERIVACIÓN (FÍSTULA) ARTERIOVENOSA PARA DIÁLISIS RENAL
39.4.3.01,RENAL EXTRACCIÓN DE DERIVACIÓN ARTERIOVENOSA PARA DIÁLISIS
39.5.0.01,PRÓTESIS (STENT) O INJERTO (S) PROTÉSICO (S) ANGIOPLASTIA O ATERECTOMÍA DE VASOS NO CORONARIOS CON IMPLANTE DE DISPOSITIVO O INJERTO
39.5.0.10,ANGIOPLASTIA DE VASOS INTRACRANEALES CON O SIN IMPLANTE DE DISPOSITIVO
39.5.0.18,ANGIOPLASTIA DE VASOS CERVICALES CON O SIN IMPLANTE DE DISPOSITIVO
39.5.0.22,ANGIOPLASTIA DE VASOS TORÁCICOS VÍA ABIERTA
39.5.0.23,ANGIOPLASTIA DE VASOS TORÁCICOS MÍNIMAMENTE INVASIVA
39.5.0.24,ANGIOPLASTIA DE VASOS TORÁCICOS VÍA PERCUTÁNEA (ENDOVASCULAR)
