codigo,descripcion,uvr,valor,capitulo,ref
584304,CIERRE DE FISTULA URETRO-VAGINAL,100,,ARTICULO 9,09430
584305,CIERRE DE FISTULA DE NEOURETRA,100,,ARTICULO 9,09430
584301,CIERRE DE FÍSTULA URETRORECTAL,130,,ARTICULO 9,09431
584200,CIERRE DE URETROSTOMÍA SOD,30,,ARTICULO 9,09432
584401,ANASTOMOSIS DE URETRA-URETRA,120,,ARTICULO 9,09433
584402,REVISIÓN DE ANASTOMOSIS DE URETRA,120,,ARTICULO 9,09433
584603,URETROPLASTIA PERINEAL,120,,ARTICULO 9,09433
597920,URETROPLASTIA DE AMPLIACIÓN,120,,ARTICULO 9,09433
584601,URETROPLASTIA TRANSPÚBICA,120,,ARTICULO 9,09434
584602,URETROPLASTIA CON OTROS TEJIDOS (CON INJERTO LIBRE DE MUCOSA VESICAL),130,,ARTICULO 9,09435
584101,URETRORRAFIA FEMENINA,70,,ARTICULO 9,09436
584102,URETRORRAFIA PENEANA,70,,ARTICULO 9,09436
584103,URETRORRAFIA PERINEAL,70,,ARTICULO 9,09436
578501,PLICATURA DE ESFINTER VESICAL,130,,ARTICULO 9,09451
579950,PROCEDIMIENTO ANTI-INCONTINENCIA URINARIA MASCULINA NCOC,130,,ARTICULO 9,09451
589110,DRENAJE DE GLÁNDULA BULBOURETRAL,30,,ARTICULO 9,09455
589120,INCISIÓN Y DRENAJE DE COLECCIONES PERIURETRALES O URINOSOS,30,,ARTICULO 9,09455
589200,ESCISIÓN DE TEJIDO PERIURETRAL SOD,50,,ARTICULO 9,M09451
583202,"ESCISIÓN DE VALVA CONGÉNITA DE URETRA, VÍA ABIERTA",55,,ARTICULO 9,M09454
600110,DRENAJE DE COLECCIÓN EN PROSTATA VIA ABIERTA,40,,ARTICULO 9,09501
608101,DRENAJE DE COLECCIÓN PERIPROSTÁTICA,40,,ARTICULO 9,09501
608201,ESCISIÓN DE LESION DE TEJIDO PERIPROSTÁTICO,40,,ARTICULO 9,09501
600200,PROSTATOLITOTOMÍA SOD,95,,ARTICULO 9,M09502
603100,PROSTATECTOMÍA TRANSVESICAL SOD,200,,ARTICULO 9,09510
604000,ADENOMECTOMIA RETROPUBICA SOD,200,,ARTICULO 9,09510
604100,PROSTATECTOMÍA TRANSVESICOCAPSULAR SOD,200,,ARTICULO 9,09510
605100,PROSTATECTOMIA RADICAL (PROSTATOVESICULECTOMÍA) SOD,250,,ARTICULO 9,09513
577130,"ESCISIÓN O REMOCIÓN DE VEJIGA, PRÓSTATA, VESÍCULAS SEMINALES Y TEJIDO",280,,ARTICULO 9,09514
609401,CONTROL DE HEMORRAGIA (POSTQUIRÚRGICA) DE PRÓSTATA VIA ABIERTA,150,,ARTICULO 9,09517
609301,REVISION Y REPARACION DE CAPSULA VIA TRANSVESICAL,130,,ARTICULO 9,09518
601400,BIOPSIA ABIERTA DE VESICULAS SEMINALES SOD,40,,ARTICULO 9,09520
607200,VESICULOTOMÍA SEMINAL SOD,40,,ARTICULO 9,09520
607301,VESICULECTOMÍA O ESPERMATOCISTECTOMIA,110,,ARTICULO 9,09521
612100,REPARACION O ESCISIÓN DE HIDROCELE DE TÚNICA VAGINALIS (HIDROCELECTOMIA) SOD (159),110,,ARTICULO 9,09601
631301,HIDROCELECTOMÍA DE CORDON ESPERMATICO VIA INGUINAL (159),55,,ARTICULO 9,09604
609100,ASPIRACIÓN PERCUTÁNEA DE PRÓSTATA SOD,35,,ARTICULO 9,09602
619100,ASPIRACION PERCUTANEA DE TUNICA VAGINAL (HIDROCELE) SOD,35,,ARTICULO 9,09602
619201,DRENAJE DE COLECCION DE TÚNICA VAGINALIS,35,,ARTICULO 9,09602
620100,DRENAJE POR INCISIÓN EN TESTÍCULO SOD,35,,ARTICULO 9,09602
629100,ASPIRACIÓN DE TESTÍCULO SOD,35,,ARTICULO 9,09602
639300,INCISIÓN Y DRENAJE DE CORDÓN ESPERMÁTICO SOD,40,,ARTICULO 9,09602
610101,INCISION Y DRENAJE DE ESCROTO Y TUNICA VAGINALIS,40,,ARTICULO 9,09602
633200,RESECCION DE HEMATOCELE DE CORDON ESPERMATICO SOD,70,,ARTICULO 9,09603
631001,LIGADURA ALTA DE VENA ESPERMÁTICA VIA RETROPERITONEAL,55,,ARTICULO 9,09604
631010,VARICOCELECTOMIA CON LIGADURA ALTA DE VENA ESPERMÁTICA,110,,ARTICULO 9,09604
631011,VARICOCELECTOMIA CON PRESERVACION DE ARTERIA,110,,ARTICULO 9,09604
639100,ASPIRACIÓN DE ESPERMATOCELE SOD,30,,ARTICULO 9,09605
644300,CONSTRUCCIÓN ( DE NOVO) DE PENE SOD,300,,ARTICULO 9,09606
645100,CIRUGÍA DE GENITALES AMBIGUOS SOD,300,,ARTICULO 9,09606
614200,FISTULECTOMÍA DEL ESCROTO SOD,60,,ARTICULO 9,09621
613102,FULGURACIÓN DE LESIÓN ESCROTAL,20,,ARTICULO 9,09622
613401,RESECCIÓN PARCIAL DEL ESCROTO,80,,ARTICULO 9,09623
613402,RESECCIÓN TOTAL DEL ESCROTO,130,,ARTICULO 9,09624
614910,RECONSTRUCCIÓN DE ESCROTO CON COLGAJO O INJERTO PEDICULAR,100,,ARTICULO 9,15142
623000,ORQUIECTOMÍA (TESTICULO) SOD (85),50,,ARTICULO 9,09630
623001,ORQUIECTOMÍA CON EPIDIDIMECTOMIA (RADICAL) (85),100,,ARTICULO 9,09631
627100,IMPLANTE DE PRÓTESIS TESTICULAR SOD,40,,ARTICULO 9,09640
626100,ORQUIDORRAFIA O SUTURA DE TESTÍCULO SOD,50,,ARTICULO 9,09641
625201,IMPLANTACIÓN DEL TESTÍCULO EN TEJIDOS VECINOS,130,,ARTICULO 9,09642
625104,FIJACION TESTICULAR PROFILACTICA,50,,ARTICULO 9,09650
625101,ORQUIDOPEXIA CON DESTORSIÓN DE TESTÍCULO O DE CORDON ESPERMATICO (22),140,,ARTICULO 9,09651
625202,ORQUIDOPEXIA TRANSABDOMINAL,140,,ARTICULO 9,09651
625210,ORQUIDOPEXIA CON RECONSTRUCCIÓN DE CANAL INGUINAL (22),140,,ARTICULO 9,09651
625220,ORQUIDOPEXIA CON TRANSPOSICION O MOVILIZACION Y SUSTITUCION DE TESTICULO EN ESCROTO (22),140,,ARTICULO 9,09651
619202,EXTRACCIÓN DE CUERPO EXTRAÑO DEL ESCROTO POR INCISION,30,,ARTICULO 9,09660
629300,EXTRACCIÓN DE CUERPO EXTRAÑO DEL TESTÍCULO SOD,70,,ARTICULO 9,09661
639600,EXTRACCIÓN DE CUERPO EXTRAÑO DE CORDÓN ESPERMÁTICO Y EPIDÍDIMO SOD,70,,ARTICULO 9,09661
635200,REDUCCIÓN DE TORSIÓN TESTICULAR O CORDÓN ESPERMÁTICO SOD,120,,ARTICULO 9,09662
622100,RESECCIÓN DE LESIONES TESTICULARES SOD,60,,ARTICULO 9,09663
613101,RESECCION DE QUISTE SEBACEO EN ESCROTO,50,,ARTICULO 9,09665
614100,SUTURA DE LACERACIÓN DE ESCROTO Y TÚNICA VAGINALIS SOD,60,,ARTICULO 9,09666
637100,LIGADURA O SECCIÓN DE CONDUCTO DEFERENTE SOD,30,,ARTICULO 9,09701
637200,LIGADURA DE CORDÓN ESPERMÁTICO SOD,30,,ARTICULO 9,09701
637300,VASECTOMÍA SOD,30,,ARTICULO 9,09701
634000,EPIDIDIMECTOMÍA SOD,50,,ARTICULO 9,09702
638300,EPIDÍDIMOVASOSTOMÍA SOD,130,,ARTICULO 9,09703
632100,ESPERMATOCELECTOMÍA O RESECCIÓN QUISTE DEL EPIDÍDIMO SOD,50,,ARTICULO 9,09704
639200,INCISIÓN (EPIDIDIMOTOMÍA)Y DRENAJE DEL EPIDÍDIMO SOD,40,,ARTICULO 9,09705
638200,RECONSTRUCCIÓN DEL CONDUCTO DEFERENTE SECCIONADO O VASO VASOSTOMÍA,130,,ARTICULO 9,09706
636100,VASOTOMÍA SOD,55,,ARTICULO 9,M09708
649100,CORTE DORSAL O LATERAL EN PREPUCIO SOD (215),30,,ARTICULO 9,09801
642100,FULGURACIÓN O RESECCIÓN DE LESIÓNES EN PENE SOD,20,,ARTICULO 9,09802
640000,CIRCUNCISIÓN SOD (216),70,,ARTICULO 9,09803
644920,PLASTIA DE FRENILLO PENEAL,35,,ARTICULO 9,09803
649300,SECCION O CORTE DE ADHERENCIAS PENEANAS SOD,35,,ARTICULO 9,09803
643100,AMPUTACIÓN PARCIAL DEL PENE O PENECTOMÍA PARCIAL SOD,85,,ARTICULO 9,09810
643200,AMPUTACIÓN TOTAL DEL PENE O PENECTOMÍA TOTAL SOD,130,,ARTICULO 9,09811
584500,REPARACION DE EPISPADIAS O HIPOSPADIAS SOD,200,,ARTICULO 9,09820
584530,"MAGPI : MEATOPLASTIA, GLANDULOPLASTIA, AVANZAMIENTO",200,,ARTICULO 9,09820
644910,ESCISIÓN DE NODULOS DE ENFERMEDAD DE PEYRONIE (23),125,,ARTICULO 9,09822
644100,SUTURA DE LACERACIÓN O HERIDA EN PENE SOD,30,,ARTICULO 9,09824
649500,INSERCIÓN O REEMPLAZO DE PRÓTESIS INTERNA DE PENE NO INFLABLE (RIGIDA Y,120,,ARTICULO 9,09825
649700,INSERCIÓN O SUSTITUCIÓN DE PRÓTESIS DE PENE INFLABLE SOD,120,,ARTICULO 9,09825
644400,RECONSTRUCCIÓN PENEANA SOD,130,,ARTICULO 9,09827
644500,REIMPLANTE O RECOLOCACION DE PENE SOD,130,,ARTICULO 9,09827
649600,RETIRO DE PRÓTESIS PENEANA SOD,40,,ARTICULO 9,09828
649804,CORRECCIÓN DE ANGULACIÓN PENEANA,100,,ARTICULO 9,09829
644200,LIBERACIÓN DE CORDEE SOD,50,,ARTICULO 9,M09821
649805,INCISIÓN Y DRENAJE DE FLEGMÓN PENEANO,20,,ARTICULO 9,09840
649803,"IRRIGACIÓN, PUNCION O DRENAJE DE CUERPO CAVERNOSO",110,,ARTICULO 9,09841
649801,DERIVACIÓN CUERPOCAVERNOSA-CUERPOESPONGIOSA O BULBO-CAVERNOSA,130,,ARTICULO 9,09842
649802,DERIVACIÓN CUERPO-SAFENA O SAFENO-CAVERNOSA,130,,ARTICULO 9,09842
644930,INYECCION EN PLACAS DE FIBROSIS DE PENE,20,,ARTICULO 9,09843
850100,DRENAJE EN MAMA DE COLECCIÓN POR MASTOTOMIA O MAMOTOMIA SOD,30,,ARTICULO 10,10101
850201,EXTRACCION DE CUERPO EXTRAÑO DE MAMA POR MASTOTOMIA (217),30,,ARTICULO 10,10102
852002,ESCISIÓN SELECTIVA DE CANAL GALACTOFORO,50,,ARTICULO 10,10110
852003,ESCISIÓN EN BLOQUE DE CONDUCTOS GALACTOFOROS,50,,ARTICULO 10,10110
852100,RESECCION LOCAL DE LESIÓN DE MAMA SOD (218),50,,ARTICULO 10,10110
852401,ESCISIÓN DE PEZON ACCESORIO O SUPERNUMERARIO,50,,ARTICULO 10,10110
852500,ESCISIÓN DE PEZON SOD,50,,ARTICULO 10,10110
854100,MASTECTOMIA SIMPLE UNILATERAL SOD,80,,ARTICULO 10,10111
854200,MASTECTOMIA SIMPLE TOTAL BILATERAL SOD,140,,ARTICULO 10,10111
854400,MASTECTOMIA SIMPLE AMPLIADA BILATERAL SOD,155,,ARTICULO 10,10111
854301,MASTECTOMIA SIMPLE CON ESCISIÓN DE GANGLIOS LINFATICOS REGIONALES,120,,ARTICULO 10,10115
853301,MASTECTOMIA SUBCUTANEA CON RECONSTRUCCION SIMULTANEA,80,,ARTICULO 10,10113
854501,"ESCISIÓN DE MAMA, MUSCULOS PECTORALES Y GANGLIO LINFATICO REGIONALES",150,,ARTICULO 10,10114
854600,MASTECTOMIA RADICAL BILATERAL SOD,265,,ARTICULO 10,10114
854701,"ESCISIÓN DE MAMA, MUSCULOS, GANGLIOS LINFATICOS",150,,ARTICULO 10,10114
854800,MASTECTOMIA RADICAL AMPLIADA BILATERAL SOD,265,,ARTICULO 10,10114
854502,MASTECTOMIA RADICAL MODIFICADA UNILATERAL,140,,ARTICULO 10,10115
853101,MAMOPLASTIA DE REDUCCION POR GINECOMASTIA,60,,ARTICULO 10,10116
852200,RESECCION DE CUADRANTE DE MAMA SOD,80,,ARTICULO 10,10117
852300,"MASTECTOMIA SUBTOTAL SOD Ginecología, la siguiente nomenclatura y calificación en Unidades de Valor Relativo (UVR):",80,,ARTICULO 10,10117
M11101,OOFOROSTOMÍA; INCLUYE DRENAJE DE ABSCESO O QUISTE,60,,ARTICULO 11,11101
652401,PUNCIÓN Y DRENAJE DE LESION DE OVARIO POR LAPAROTOMÍA,70,,ARTICULO 11,11102
652200,RESECCIÓN CUNEIFORME EN OVARIO SOD,65,,ARTICULO 11,11105
652101,CISTECTOMÍA DE OVARIO POR LAPAROTOMÍA,100,,ARTICULO 11,11106
652301,RESECCIÓN DE TUMOR DE OVARIO POR LAPAROTOMÍA,100,,ARTICULO 11,11106
652801,RESECCIÓN DE QUISTE PARA-OVÁRICO POR LAPAROTOMÍA,110,,ARTICULO 11,11107
652410,OFOROSTOMIA,50,,ARTICULO 11,11120
653101,OOFORECTOMÍA UNILATERAL POR LAPÀROTOMIA,60,,ARTICULO 11,11120
655101,OOFORECTOMÍA BILATERAL POR LAPAROTOMÍA,100,,ARTICULO 11,11120
655200,ESCISIÓN DE OVARIO REMANENTE SOLITARIO O ÚNICO SOD,60,,ARTICULO 11,11120
653103,OOFORECTOMÍA UNILATERAL CON OMENTECTOMIA POR LAPAROTOMÍA,70,,ARTICULO 11,11122
655103,OOFORECTOMÍA BILATERAL CON OMENTECTOMIA POR LAPAROTOMÍA,120,,ARTICULO 11,11122
657801,OOFOROPEXIA UNILATERAL POR LAPAROTOMÍA,75,,ARTICULO 11,11130
657803,OOFOROPEXIA BILATERAL POR LAPAROTOMÍA,105,,ARTICULO 11,11130
652910,CITOREDUCCIÓN DE TUMOR DE OVARIO,125,,ARTICULO 11,11132
691910,CITORREDUCCIÓN DE TUMOR DE LIGAMENTO ANCHO O DE LIGAMENTO UTERO SACRO,125,,ARTICULO 11,11132
657000,OFOROPLASTIA SOD,55,,ARTICULO 11,M11131
657100,OOFORORRAFIA SIMPLE SOD,55,,ARTICULO 11,M11132
664001,SALPINGECTOMÍA UNILATERAL TOTAL POR LAPAROTOMÍA,70,,ARTICULO 11,11201
665001,SALPINGECTOMÍA BILATERAL TOTAL POR LAPAROTOMÍA,100,,ARTICULO 11,11201
665301,ESCISIÓN DE TROMPA DE FALOPIO REMANENTE,70,,ARTICULO 11,11201
666110,ESCISIÓN DE LESION CON SALPINGECTOMÍA PARCIAL,70,,ARTICULO 11,11201
669110,SALPINGO-OOFORECTOMÍA UNILATERAL POR LAPAROTOMÍA,100,,ARTICULO 11,11201
669130,"ESCISIÓN DE UN OVARIO (REMANENTE, SOLITARIO O ÚNICO) CON RESECCION DE",100,,ARTICULO 11,11201
669210,SALPINGO-OOFORECTOMÍA BILATERAL POR LAPAROTOMÍA,120,,ARTICULO 11,11201
663100,SECCIÓN Y/O LIGADURA DE TROMPAS DE FALOPIO [CIRUGIA DE POMEROY] POR,65,,ARTICULO 11,11202
660101,SALPINGOSTOMÍA Y DRENAJE TROMPA DE FALOPIO POR LAPAROTOMÍA (86),100,,ARTICULO 11,11210
660201,SALPINGOSTOMÍA POR LAPAROTOMÍA (86),75,,ARTICULO 11,11210
667901,SALPINGOPLASTIA (FIMBROPLASTIA) POR LAPAROTOMÍA,125,,ARTICULO 11,11211
M11212,"SALPINGOPLASTIA O SALPINGONEOSTOMÍA, POR MICROCIRUGÍA",140,,ARTICULO 11,11212
669410,SALPINGO-OOFOROPLASTIA [OPERACIÓN DE ESTES],110,,ARTICULO 11,M11222
652901,"LIBERACION O LISIS DE ADHERENCIAS (LEVES, MODERADAS O SEVERAS) DE OVARIO POR LAPAROTOMIA (24)",90,,ARTICULO 11,11240
667601,SALPINGOLISIS POR LAPAROTOMIA,90,,ARTICULO 11,11240
669901,LIBERACIÓN O LISIS DE ADHERENCIAS DE OVARIO Y TROMPAS DE FALOPIO POR,90,,ARTICULO 11,11240
667101,SUTURA SIMPLE DE TROMPA DE FALOPIO POR LAPAROTOMÍA,50,,ARTICULO 11,M011221
666210,RESECCIÓN DE LESION EN MESOSALPINX POR LAPAROTOMÍA,110,,ARTICULO 11,11300
691110,RESECCION DE TUMOR DE LIGAMENTO ANCHO POR LAPAROTOMIA,110,,ARTICULO 11,11300
691130,SECCIÓN DE LIGAMENTO UTERO SACRO POR LAPAROTOMIA,110,,ARTICULO 11,11300
691901,DRENAJE DE COLECCION DE LIGAMENTO ANCHO POR LAPAROTOMIA,70,,ARTICULO 11,11301
692210,HISTEROPEXIA POR LAPAROTOMÍA,70,,ARTICULO 11,11401
692211,HISTEROPEXIA POR LAPAROTOMIA CON SIMPATECTOMIA PRESACRA,120,,ARTICULO 11,11402
692110,INTERPOSICION TIPO WATKINS,80,,ARTICULO 11,11403
682402,MIOMECTOMÍA UTERINA Y ESCISION DE TUMOR FIBROIDE ( UNICO O MULTIPLE) VIA,100,,ARTICULO 11,11410
682401,MIOMECTOMÍA UTERINA Y ESCISION DE TUMOR FIBROIDE (UNICO O MULTIPLE) POR,100,,ARTICULO 11,11411
699700,RETIRO DE OTRO CUERPO EXTRAÑO PENETRANTE EN CUELLO UTERINO SOD,30,,ARTICULO 11,11412
682300,RESECCIÓN DE PÓLIPO ENDOMETRIAL SOD,35,,ARTICULO 11,11413
690101,LEGRADO UTERINO GINECOLÓGICO DIAGNÓSTICO,50,,ARTICULO 11,11414
690102,LEGRADO UTERINO GINECOLÓGICO TERAPEUTICO,50,,ARTICULO 11,11414
674000,AMPUTACIÓN DEL CUELLO UTERINO O TRAQUELECTOMÍA SOD,70,,ARTICULO 11,11420
674100,ESCISION DE MUÑON CERVICAL VIA VAGINAL O ABDOMINAL SOD,55,,ARTICULO 11,11421
674200,ESCISION DE MUÑON CERVICAL CON REPARACION DEL PISO PELVICO SOD,110,,ARTICULO 11,11422
674300,ESCISION DE MUÑON CERVICAL CON COLPORRAFIA ANTERIOR Y POSTERIOR SOD,110,,ARTICULO 11,11423
674400,ESCISION DE MUÑON CERVICAL CON CORRECCIÓN DE ENTEROCELE SOD,110,,ARTICULO 11,11424
670100,DILATACIÓN Y CURETAJE DE MUÑÓN CERVICAL SOD,20,,ARTICULO 11,11425
673401,CONIZACION CON RADIOCIRUGIA (LETZ) BAJO COLPOSCOPIA,80,,ARTICULO 11,11426
672001,CONIZACION NCOC,70,,ARTICULO 11,11427
675100,CERCLAJE DE ISTMO UTERINO SOD,55,,ARTICULO 11,11428
699600,RETIRO DE MATERIAL DE CERCLAJE DE CUELLO UTERINO SOD,30,,ARTICULO 11,11428
673101,ESCISIÓN DE PÓLIPO EN CUELLO UTERINO (CERVIX) NCOC **,30,,ARTICULO 11,11429
694101,HISTERORRAFIA POR LAPAROTOMÍA (220),80,,ARTICULO 11,11430
682201,INCISIÓN O ESCISIÓN DE TABIQUE CONGÉNITO UTERINO POR LAPAROTOMÍA,90,,ARTICULO 11,11431
694910,CORRECIÓN DE DESGARRO O LACERACIÓN OBSTÉTRICA ANTIGUAS EN ÚTERO,40,,ARTICULO 11,11431
694920,HISTEROPLASTIA [OPERACIÓN DE STRASMAN],150,,ARTICULO 11,11431
755100,REPARACION DE DESGARRO OBSTÉTRICO ACTUAL DE CUELLO UTERINO (CERVIX) SOD,40,,ARTICULO 11,11431
755200,REPARACION DE DESGARRO OBSTÉTRICO ACTUAL DE CUERPO UTERINO SOD,40,,ARTICULO 11,11431
676100,SUTURA DE LACERACIÓN O DESGARRO DE CUELLO UTERINO (CERVIX) SOD,35,,ARTICULO 11,11433
676910,CORRECCIÓN DE DESGARRO OBSTÉTRICO ANTIGUO DE CUELLO UTERINO,40,,ARTICULO 11,11433
676920,TRAQUELOPLASTIA CON TRAQUELORRAFIA,55,,ARTICULO 11,11433
684000,HISTERECTOMÍA TOTAL ABDOMINAL SOD,150,,ARTICULO 11,11440
683100,HISTERECTOMÍA SUBTOTAL O SUPRACERVICAL SOD,150,,ARTICULO 11,11441
684101,HISTERECTOMÍA TOTAL ABDOMINAL AMPLIADA CON VAGINECTOMIA PARCIAL,170,,ARTICULO 11,11442
684010,"HISTERECTOMÍA TOTAL, CON CERVICECTOMIA, REMOCION DE VEJIGA, TRANSPLANTE",340,,ARTICULO 11,11445
686100,HISTERECTOMÍA RADICAL MODIFICADA [OPERACIÓN DE WERTHEIM] SOD (384),180,,ARTICULO 11,11446
685100,HISTERECTOMÍA VAGINAL SOD,150,,ARTICULO 11,11447
685130,HISTERECTOMÍA VAGINAL CON REPARACION PLASTICA DE VAGINA Y COLPORRAFIA,160,,ARTICULO 11,11448
685110,HISTERECTOMÍA VAGINAL CON COLPOURETROCISTOPEXIA,160,,ARTICULO 11,11449
685120,HISTERECTOMÍA VAGINAL CON REPARACION DE ENTEROCELE,160,,ARTICULO 11,11450
687000,HISTERECTOMÍA RADICAL VAGINAL [ OPERACIÓN DE SCHAUTA] SOD,250,,ARTICULO 11,11451
691301,SECCIÓN DE ADHERENCIAS UTERINAS A PARED ABDOMINAL VIA LAPAROTOMIA,50,,ARTICULO 11,11452
549201,"EXTRACCION CUERPO EXTRAÑO INTRAPERITONEAL (O DIU PERDIDO), POR",75,,ARTICULO 11,11454
699120,IMPLANTACION INTRAUTERINA DE PLATINAS RADIOACTIVAS,40,,ARTICULO 11,11455
701201,COLPOTOMIA CON EXPLORACION,45,,ARTICULO 11,11501
701420,DRENAJE DE COLECCIÓN DE FONDO DE SACO (CUPULA VAGINAL),50,,ARTICULO 11,11502
703200,ESCISIÓN O ABLACIÓN DE LESION O TEJIDO EN FONDO DE SACO SOD,50,,ARTICULO 11,11502
701202,COLPOTOMIA CON DRENAJE DE COLECCIÓN PELVICA,85,,ARTICULO 11,11503
701300,LIBERACIÓN-LISIS DE ADHERENCIAS INTRALUMINALES EN VAGINA SOD,30,,ARTICULO 11,11504
701410,SECCIÓN O INCISION DE TABIQUE VAGINAL,60,,ARTICULO 11,11504
703310,RESECCION DEL TABIQUE VAGINAL,60,,ARTICULO 11,11504
710100,LISIS DE ADHERENCIAS EN VULVA SOD,30,,ARTICULO 11,11504
701430,VAGINOPERINEOTOMÍA (221) EXCLUYE: la episiotomía para atención de parto (221),30,,ARTICULO 11,M11504
703330,RESECCIÓN PARCIAL DE VAGINA O ESCISIÓN DE MANGUITO VAGINAL,60,,ARTICULO 11,11520
704100,VAGINECTOMÍA O COLPECTOMIA TOTAL SOD,100,,ARTICULO 11,11521
708100,OBLITERACIÓN Y ESCISIÓN LOCAL DE VAGINA (COLPOCLEISIS) SOD,90,,ARTICULO 11,11522
703100,HIMENECTOMÍA O HIMENOTOMIA SOD,30,,ARTICULO 11,11523
707600,HIMENORRAFIA O HIMENOPLASTIA SOD,30,,ARTICULO 11,11523
703321,RESECCIÓN DE LESION BENIGNA EN TERCIO SUPERIOR DE VAGINA (87),70,,ARTICULO 11,11525
703340,RESECCIÓN DE TUMOR MALIGNO DE VAGINA,95,,ARTICULO 11,11525
703320,RESECCIÓN DE LESION BENIGNA EN TERCIO MEDIO O INFERIOR DE VAGINA (87),50,,ARTICULO 11,11526
568440,FISTULECTOMÍA VESICO-URETERO-VAGINAL Y REIMPLANTE URETERAL,215,,ARTICULO 11,11531
707510,CIERRE DE FISTULA URETROVAGINAL O VESICO VAGINAL SOD,135,,ARTICULO 11,11531
709100,EXTRACCIÓN DE CUERPO EXTRAÑO EN VAGINA CON INCISIÓN SOD,20,,ARTICULO 11,11532
707930,CORECCIÓN DE SENO UROGENITAL,180,,ARTICULO 11,11533
706101,VAGINOPLASTIA POR VIA ABDOMINAL,220,,ARTICULO 11,11534
706102,VAGINOPLASTIA POR VIA PERINEAL,130,,ARTICULO 11,11534
706103,VAGINOPLASTIA POR VIA ABDOMINOPERINEAL,300,,ARTICULO 11,11534
705110,COLPORRAFIA ANTERIOR CON PLASTIA O REPARACIÓN DE URETROCELE,70,,ARTICULO 11,11540
705210,COLPORRAFIA POSTERIOR,50,,ARTICULO 11,11541
709220,REPARACION DE ENTEROCELE VIA VAGINAL,70,,ARTICULO 11,11541
705301,COLPORRAFIA ANTERIOR Y POSTERIOR,90,,ARTICULO 11,11542
705303,COLPORRAFIA ANTERIOR Y POSTERIOR CON AMPUTACION DE CUELLO,105,,ARTICULO 11,11543
705302,COLPORRAFIA ANTERIOR Y POSTERIOR CON REPARACION DE ENTEROCELE,130,,ARTICULO 11,11544
707701,COLPOPEXIA POR LAPAROTOMÍA,140,,ARTICULO 11,11545
707702,COLPOPEXIA VIA VAGINAL,140,,ARTICULO 11,11545
597940,URETROCOLPOPEXIA VIA VAGINAL O ABDOMINAL,150,,ARTICULO 11,11546
597941,URETROCOLPOPEXIA REPRODUCIDA VIA VAGINAL O ABDOMINAL,170,,ARTICULO 11,11547
709230,REPARACION DE ENTEROCELE VIA ABDOMINAL,140,,ARTICULO 11,11548
717920,SUTURA DE DESGARRO O LACERACION NO OBSTETRICA RECIENTE QUE INVOLUCRA,50,,ARTICULO 11,11551
707120,REPARACION DE DESGARRO VAGINAL NO OBSTETRICO GRADO III (RECTOVAGINAL,70,,ARTICULO 11,11551
707130,REPARACION DE DESGARRO VAGINAL NO OBSTETRICO GRADO IV (ESTALLIDO DE,110,,ARTICULO 11,11552
706000,RECONSTRUCCIÓN DE VAGINA SOD,150,,ARTICULO 11,11554
707200,CORRECCIÓN DE FÍSTULA COLOVAGINAL (CECOVAGINAL) SOD,130,,ARTICULO 11,11555
707300,CORRECCION DE FISTULA RECTOVAGINAL Y/O PERINEAL SOD,150,,ARTICULO 11,11555
707400,CORRECCIÓN DE OTRAS FÍSTULAS VAGINOINTESTINALES SOD,130,,ARTICULO 11,11555
717200,CORRECCIÓN DE FÍSTULA DE VULVA O PERINÉ SOD,90,,ARTICULO 11,11555
710921,INCISION Y DRENAJE DE COLECCIÓN DE VULVA O DE GLANDULA DE SKENE,20,,ARTICULO 11,11601
712100,ASPIRACIÓN CON AGUJA DE LAS GLÁNDULAS DE BARTHOLIN(QUISTE) SOD,20,,ARTICULO 11,11601
712200,INCISIÓN Y DRENAJE DE LA GLÁNDULA DE BARTHOLIN (QUISTE) SOD,20,,ARTICULO 11,11601
718100,EXTRACCIÓN DE CUERPO EXTRAÑO DE VULVA Y/O PERINÉ CON INCISIÓN SOD,20,,ARTICULO 11,11602
717300,DRENAJE DE COLECCIÓN VULVOPERINEAL SOD,40,,ARTICULO 11,11603
863103,"RESECCIÓN DE LESIONES CUTANEAS POR CAUTERIZACIÓN, FULGURACIÓN O",20,,ARTICULO 11,11610
863104,"RESECCIÓN DE LESIONES CUTANEAS POR CAUTERIZACIÓN, FULGURACIÓN O",25,,ARTICULO 11,11610
863105,"RESECCIÓN DE LESIONES CUTANEAS POR CAUTERIZACIÓN, FULGURACIÓN O",30,,ARTICULO 11,11610
713500,RESECCIÓN GRANULOMA VULVO-PERINEAL SOD,20,,ARTICULO 11,11611
713400,RESECCIÓN DE ENDOMETRIOMA PERINEAL SOD (108),30,,ARTICULO 11,11612
712401,RESECCION DE GLANDULA DE BARTHOLIN (BARTHOLINECTOMIA),55,,ARTICULO 11,11620
713100,RESECCIÓN DE GLÁNDULA DE SKENE SOD,55,,ARTICULO 11,11620
712300,MARZUPIALIZACIÓN Y/O DRENAJE EN LA GLÁNDULA DE BARTHOLIN O DE SKENE SOD,30,,ARTICULO 11,11621
714100,CLITORIDECTOMÍA O AMPUTACIÓN TOTAL DE CLÍTORIS SOD,50,,ARTICULO 11,11630
714200,CLITORIDOTOMÍA O ESCISIÓN PARCIAL DE CLÍTORIS SOD,50,,ARTICULO 11,11630
